Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;;;;;;;;;;;;;;;;;;;;;;
5141406005-00;DADO ESAG. MEDIO A2 M6-70;25;HEXAGONAL NUT MEDIUM A2 M6-70;29;;;;;;;;;;;;;;;;;;;;;
5141408006-00;DADO ESAG. MEDIO A2 M8-70;25;HEXAGONAL NUT MEDIUM A2 M8-70;29;;;;;;;;;;;;;;;;;;;;;
5141310008-00;DADO ESAG. MEDIO A2K M10-6;26;HEXAGONAL NUT MEDIUM A2K M10-6;30;;;;;;;;;;;;;;;;;;;;;
5141312010-00;DADO ESAG. MEDIO A2K M12-6;26;HEXAGONAL NUT MEDIUM A2K M12-6;30;;;;;;;;;;;;;;;;;;;;;
5141314010-00;DADO ESAG. MEDIO A2K M14-6;26;HEXAGONAL NUT MEDIUM A2K M14-6;30;;;;;;;;;;;;;;;;;;;;;
5145116013-00;DADO ESAG. MEDIO A2K M16-10;27;HEXAGONAL NUT MEDIUM A2K M16-10;31;;;;;;;;;;;;;;;;;;;;;
5141316013-00;DADO ESAG. MEDIO A2K M16-6;26;HEXAGONAL NUT MEDIUM A2K M16-6;30;;;;;;;;;;;;;;;;;;;;;
5141302502-00;DADO ESAG. MEDIO A2K M2,5-6;27;HEXAGONAL NUT MEDIUM A2K M2,5-6;31;;;;;;;;;;;;;;;;;;;;;
5141320016-00;DADO ESAG. MEDIO A2K M20-6;26;HEXAGONAL NUT MEDIUM A2K M20-6;30;;;;;;;;;;;;;;;;;;;;;
5146320016-00;DADO ESAG. MEDIO A2K M20x1,5 SX-4;33;HEXAGONAL NUT MEDIUM A2K M20x1,5 SX-4;37;;;;;;;;;;;;;;;;;;;;;
5145320016-00;DADO ESAG. MEDIO A2K M20x1,5-6;30;HEXAGONAL NUT MEDIUM A2K M20x1,5-6;34;;;;;;;;;;;;;;;;;;;;;
5141322016-00;DADO ESAG. MEDIO A2K M22-6;26;HEXAGONAL NUT MEDIUM A2K M22-6;30;;;;;;;;;;;;;;;;;;;;;
