Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5002000009-00;GHIERA DI BLOCCAGGIO INA KMT 9 M45x1,5;38;PRECISION LOCKNUT INA KMT 9 M45x1,5;35
5002000012-00;GHIERA DI BLOCCAGGIO INA ZM12 M12x1;35;PRECISION LOCKNUT INA ZM12 M12x1;32
5002000015-00;GHIERA DI BLOCCAGGIO INA ZM15 M15x1;35;PRECISION LOCKNUT INA ZM15 M15x1;32
5002000017-00;GHIERA DI BLOCCAGGIO INA ZM17 M17x1;35;PRECISION LOCKNUT INA ZM17 M17x1;32
5002000020-00;GHIERA DI BLOCCAGGIO INA ZM20 20x1;34;PRECISION LOCKNUT INA ZM20 20x1;31
5002000025-00;GHIERA DI BLOCCAGGIO INA ZM25 25x1,5;36;PRECISION LOCKNUT INA ZM25 25x1,5;33
5002000030-00;GHIERA DI BLOCCAGGIO INA ZM30 30x1,5;36;PRECISION LOCKNUT INA ZM30 30x1,5;33
5002000040-00;CALETTATORE VK 550 40x50;24;LOCKING VK 550 40x50;20
5002000041-00;GHIERA DI BLOCCAGGIO INA ZM40 40x1,5;36;PRECISION LOCKNUT INA ZM40 40x1,5;33
5002000050-00;GHIERA DI BLOCCAGGIO INA ZM50 50x1,5;36;PRECISION LOCKNUT INA ZM50 50x1,5;33
5002000055-00;GHIERA DI BLOCCAGGIO INA ZM55 55x2;34;PRECISION LOCKNUT INA ZM55 55x2;31
5002000070-00;GHIERA DI BLOCCAGGIO INA ZM70 70x2;34;PRECISION LOCKNUT INA ZM70 70x2;31
5002000090-00;GHIERA DI BLOCCAGGIO INA ZM90 90x2;34;PRECISION LOCKNUT INA ZM90 90x2;31
5002000110-00;GHIERA DI BLOCCAGGIO INA ZM110 110x2;36;PRECISION LOCKNUT INA ZM110 110x2;33
5002001650-00;GHIERA DI PRECISIONE LRE16 A2K M50x1,5;38;PRECISION LOCKNUT LRE16 A2K M50x1,5;35
5002007002-00;CUSCINETTO OBLIQ. SFERA 7002 CDGA/P4ADGA;40;ANG. CONT. B-BEARING 7002 CDGA/P4ADGA;37
5002007010-00;CUSCINETTO OBLIQUO SFERA 7010 CD/P4ADGA;39;ANG. CONT. B-BEARING 7010 CD/P4ADGA;35
5002007204-00;CUSCINETTO OBLIQUO SFERA 7204 CD/P4ADGA;39;ANG. CONT. B-BEARING 7204 CD/P4ADGA;35
5002007210-00;CUSCINETTO OBLIQUO SFERA 7210 BE-2RZP;37;ANG. CONT. B-BEARING 7210 BE-2RZP;33
5002007215-00;CUSCINETTO OBLIQUO SFERA 7215 BEP ;34;ANG. CONT. B-BEARING 7215 BEP ;30
5002007216-00;CUSCINETTO OBLIQUO SFERA 7216 BEP ;34;ANG. CONT. B-BEARING 7216 BEP ;30
5002007305-00;CUSCINETTO OBLIQUO SFERA 7305 BECBP ;36;ANG. CONT. B-BEARING 7305 BECBP ;32
5002007919-00;CUSCINETTO (COPPIA) 7919 TAUEP RHP;34;BEARING (COUPLE) 7919 TAUEP RHP;31
5002007948-00;CUSCINETTO (SINGOLO) 7948B X3TAUEP5;35;BEARING 7948B X3TAUEP5;22
5002020150-00;GHIERA DI PRECISIONE HIR M20x1,5;32;PRECISION LOCKNUT HIR M20x1,5;29
5002100035-00;ANELLO DI BLOCCAGGIO C-AB 35;28;RETAINING RING C-AB 35;22
5003051107-00;CUSCINETTO ASSIALE SFERA 51107;30;THRUST BALL BEARING 51107;25
5004000010-00;CUSCINETTO OBLIQUO SFERA 7000 ACD/P4ADBC;40;ANG. CONT. B-BEARING 7000 ACD/P4ADBC;36
5004000012-00;CUSCINETTO OBLIQUO SFERA 7001 ACD/P4ADBC;40;ANG. CONT. B-BEARING 7001 ACD/P4ADBC;36
5004000013-00;CUSCINETTO SEZ. SOTTILE FRANKE LSA8-17;38;SLIM BEARING FRANKE LSA8-17;27
5004000201-00;CUSCINETTO ASSIALE OBL. BSA 201 CGA;35;ANG.CONT.THR. B-BEARING BSA 201 CGA;35
5004000202-00;CUSCINETTO ASSIALE OBL. BSA 202 CGA-2RZ;39;ANG.CONT.THR. B-BEARING BSA 202 CGA-2RZ;39
5004000205-00;CUSCINETTO ASSIALE OBL. BSA 205 CGA;35;ANG.CONT.THR. B-BEARING BSA 205 CGA;35
5004000215-00;CUSCINETTO ASSIALE OBL. BSA 202 CGA/DBA;39;ANG.CONT.THR. B-BEARING BSA 202 CGA/DBA;39
5004000216-00;CUSCINETTO OBLIQ. BSA 202 CGA-2RZ/QBCA;38;ANG.CONT.THR. B-BRG BSA 202 CGA-2RZ/QBCA;40
5004000220-00;CUSCINETTO ASSIALE OBL. BSA 204 CGA/DBA;39;ANG.CONT.THR. B-BEARING BSA 204 CGA/DBA;39
5004000240-00;CUSCINETTO ASSIALE OBL. BSA 208 CGA/DBA;39;ANG.CONT.THR. B-BEARING BSA 208 CGA/DBA;39
5004000245-00;CUSCINETTO ASSIALE OBL. BSA 209 CGA/DBA;39;ANG.CONT.THR. B-BEARING BSA 209 CGA/DBA;39
5004001563-00;CUSCINETTO ASSIALE OBL. ZKLFA1563-2RS;37;ANG.CONT.THR. B-BEARING ZKLFA1563-2RS;37
5004002051-00;CUSCINETTO ASSIALE OBL. ZKLN2052-2RS;36;ANG.CONT.THR. B-BEARING ZKLN2052-2RS;36
5004002052-00;CUSCINETTO ASSIALE OBL. ZKLN2052-2RS-2AP;40;ANG.CONT.THR. B-BEARING ZKLN2052-2RS-2AP;40
5004002557-00;CUSCINETTO ASSIALE OBL. ZKLN2557-2RS-PE;39;ANG.CONT.THR. B-BEARING ZKLN2557-2RS-PE;39
5004003062-00;CUSCINETTO ASSIALE OBL. ZKLN3062-2RS-PE;39;ANG.CONT.THR. B-BEARING ZKLN3062-2RS-PE;39
5004004075-00;CUSCINETTO ASSIALE OBL. ZKLN4075-2RS-2AP;40;ANG.CONT.THR. B-BEARING ZKLN4075-2RS-2AP;40
5004005090-00;CUSCINETTO ASSIALE OBL. ZKLN5090-2RS-2AP;40;ANG.CONT.THR. B-BEARING ZKLN5090-2RS-2AP;40
5004007004-00;CUSCINETTO OBLIQUO SFERA 7004 CD/P4ADGA;39;ANG. CONT. B-BEARING 7004 CD/P4ADGA;35
5004007005-00;CUSCINETTO OBLIQUO SFERA 7005 CD/P4ADGA;39;ANG. CONT. B-BEARING 7005 CD/P4ADGA;35
5004007006-00;CUSCINETTO OBLIQUO SFERA 7006 CD/P4ADGA;39;ANG. CONT. B-BEARING 7006 CD/P4ADGA;35
5004007007-00;CUSCINETTO OBLIQUO SFERA 7007 CD/P4ADGA;39;ANG. CONT. B-BEARING 7007 CD/P4ADGA;35
5004007008-00;CUSCINETTO OBLIQUO SFERA 7008 CD/P4ADGA;39;ANG. CONT. B-BEARING 7008 CD/P4ADGA;35
5004007009-00;CUSCINETTO OBLIQUO SFERA 7009 CD/P4ADGA;39;ANG. CONT. B-BEARING 7009 CD/P4ADGA;35
5004007201-00;CUSCINETTO OBLIQUO SFERA 7201 CD/P4ADAGA;40;ANG. CONT. B-BEARING 7201 CD/P4ADAGA;36
5004007204-00;CUSCINETTO OBLIQUO SFERA 7204 CD/P4ADGA;39;ANG. CONT. B-BEARING 7204 CD/P4ADGA;35
5004007205-00;CUSCINETTO OBLIQUO SFERA 7205 CD/P4ADGA;39;ANG. CONT. B-BEARING 7205 CD/P4ADGA;35
5004007206-00;CUSCINETTO OBLIQUO SFERA 7206 CD/P4ADGA;39;ANG. CONT. B-BEARING 7206 CD/P4ADGA;35
5004007207-00;CUSCINETTO OBLIQUO SFERA 7207 CD/P4ADGA;39;ANG. CONT. B-BEARING 7207 CD/P4ADGA;35
5004007208-00;CUSCINETTO OBLIQUO SFERA 7208 CD/P4ADGA;39;ANG. CONT. B-BEARING 7208 CD/P4ADGA;35
5004007210-00;CUSCINETTO OBLIQUO SFERA 7210 CD/P4ADGA;39;ANG. CONT. B-BEARING 7210 CD/P4ADGA;35
5004007905-00;CUSCINETTO OBLIQUO SFERA 71905 CD/P4A ;38;ANG. CONT. B-BEARING 71905 CD/P4A ;34
5004007908-00;CUSCINETTO OBLIQUO SFERA 71908 CD/P4ADGA;40;ANG. CONT. B-BEARING 71908 CD/P4ADGA;36
5004007948-00;CUSCINETTO OBLIQ.SFERA 71948 CDGA/P4ADGA;40;ANG. CONT. B-BEARING 71948 CDGA/P4ADGA;38
5004012557-00;CUSCINETTO ASSIALE OBL. BEAS 025057-2RS;39;ANG.CONT.THR. B-BEARING BEAS 025057-2RS;39
5004107006-00;CUSCINETTO OBLIQUO SFERA S7006 CDGA/P4A;39;ANG. CONT. B-BEARING S7006 CDGA/P4A;35
5004107008-00;CUSCINETTO OBLIQUO SFERA S7008 CDGA/P4A;39;ANG. CONT. B-BEARING S7008 CDGA/P4A;35
5004107010-00;CUSCINETTO OBLIQUO SFERA S7010 CDGA/P4A;39;ANG. CONT. B-BEARING S7010 CDGA/P4A;35
5004107205-00;CUSCINETTO OBLIQUO SFERA 7205 BEP;33;ANG. CONT. B-BEARING 7205 BEP;29
5004171907-00;CUSCINETTO OBLIQUO SFERA 71907 CDGA/P4A;39;ANG. CONT. B-BEARING 71907 CDGA/P4A;35
5004171919-00;CUSCINETTO OBLIQ. SFERA S71919 ACDGA/P4A;40;ANG. CONT. B-BEARING S71919 ACDGA/P4A;37
5004407206-00;CUSCINETTO OBLIQ. SFERA 7206 CDGA/P4AQGA;40;ANG. CONT. B-BEARING 7206 CDGA/P4AQGA;37
5004410090-00;CUSCINETTO ANELLO SOTTILE KMF PBXA 090;38;THIN RING BEARING KMF PBXA 090;30
